number,feature,corr,p_value,abs_corr,p_adj
16,humidity_diff,0.04435922691451798,0.2697048814554783,0.04435922691451798,0.8861234226019622
16,moon_age,-0.03937218758435787,0.327306849789914,0.03937218758435787,0.8861234226019622
30,humidity_diff,0.04446697096919338,0.2685421914008571,0.04446697096919338,0.8861234226019622
26,temp_diff,0.041750038834884456,0.2989152526056454,0.041750038834884456,0.8861234226019622
20,temp,-0.03982193764965666,0.3218070660577809,0.03982193764965666,0.8861234226019622
21,temp_diff,0.039428105790900725,0.3266197574475648,0.039428105790900725,0.8861234226019622
12,moon_cos,0.0420365112504982,0.2956089284962077,0.0420365112504982,0.8861234226019622
36,temp,0.03956576984844993,0.32493220337753065,0.03956576984844993,0.8861234226019622
23,pressure,-0.043966242199113936,0.27397483972128245,0.043966242199113936,0.8861234226019622
10,temp,0.043756514514011385,0.27627238673024335,0.043756514514011385,0.8861234226019622
33,humidity_diff,0.04061754956524996,0.31222616772027684,0.04061754956524996,0.8861234226019622
12,humidity_diff,-0.04601997361683181,0.25216440553113034,0.04601997361683181,0.8861234226019622
5,temp_diff,0.039606942039552714,0.32442859586635203,0.039606942039552714,0.8861234226019622
23,temp_diff,-0.04174772357646806,0.2989420741003036,0.04174772357646806,0.8861234226019622
35,pressure_diff,0.04349691846305765,0.2791343407967185,0.04349691846305765,0.8861234226019622
9,temp_diff,0.040773267347312486,0.31037315647070546,0.040773267347312486,0.8861234226019622
11,pressure_diff,0.041027809555081826,0.30735977990653035,0.041027809555081826,0.8861234226019622
4,moon_age,0.04130970385164665,0.3040452213010854,0.04130970385164665,0.8861234226019622
8,temp,-0.04115008231483827,0.30591915748379683,0.04115008231483827,0.8861234226019622
21,humidity,-0.04479545994404868,0.2650186096074606,0.04479545994404868,0.8861234226019622
22,moon_cos,0.04200316026984692,0.2959925878223686,0.04200316026984692,0.8861234226019622
36,humidity,-0.039464027427241546,0.32617886552416436,0.039464027427241546,0.8861234226019622
11,humidity,-0.04260681577498302,0.2890997288017671,0.04260681577498302,0.8861234226019622
6,temp_diff,-0.04359531025974469,0.2780472482122809,0.04359531025974469,0.8861234226019622
30,pressure,-0.0380370295982692,0.3439901722103918,0.0380370295982692,0.9163898187684838
15,pressure,-0.038201422253100754,0.3419072744095969,0.038201422253100754,0.9163898187684838
33,moon_cos,-0.03457918365957025,0.38966229153496246,0.03457918365957025,0.9402720513126268
21,temp,0.03711626894761961,0.35580538791514316,0.03711626894761961,0.9402720513126268
6,pressure,-0.03474940779649495,0.3873312916162518,0.03474940779649495,0.9402720513126268
27,humidity_diff,0.03623700699454174,0.3673234392575135,0.03623700699454174,0.9402720513126268
6,pressure_diff,-0.03686106808399263,0.3591247942334911,0.03686106808399263,0.9402720513126268
8,pressure,0.03557148023142585,0.37619393057247086,0.03557148023142585,0.9402720513126268
24,moon_sin,0.034874399244364765,0.3856251078625819,0.034874399244364765,0.9402720513126268
18,pressure_diff,0.03652978604660779,0.363462648309794,0.03652978604660779,0.9402720513126268
2,humidity_diff,-0.03512202377435659,0.3822584859058021,0.03512202377435659,0.9402720513126268
26,pressure_diff,0.03468952886355902,0.3881502875394021,0.03468952886355902,0.9402720513126268
2,moon_sin,0.03556649914465222,0.37626081449982834,0.03556649914465222,0.9402720513126268
35,moon_age,-0.035785088367310786,0.3733325823126576,0.035785088367310786,0.9402720513126268
21,pressure,-0.0357808933785399,0.37338864579388686,0.0357808933785399,0.9402720513126268
7,humidity_diff,0.032447134282452605,0.41957322523627305,0.032447134282452605,0.9537290427630081
18,temp,-0.03259343559710031,0.41747867767095215,0.03259343559710031,0.9537290427630081
13,pressure,-0.0333152277141924,0.407235360441131,0.0333152277141924,0.9537290427630081
26,moon_cos,0.032723475357595816,0.41562211205901856,0.032723475357595816,0.9537290427630081
3,moon_age,0.03307228128376115,0.4106663272517013,0.03307228128376115,0.9537290427630081
29,humidity_diff,0.03226011493084896,0.4222596741942376,0.03226011493084896,0.9537290427630081
27,moon_cos,-0.03373718010184099,0.40131710204320753,0.03373718010184099,0.9537290427630081
36,moon_cos,0.03346652549840495,0.40510732813479927,0.03346652549840495,0.9537290427630081
14,moon_cos,-0.03214768038517297,0.4238795745613369,0.03214768038517297,0.9537290427630081
7,humidity,0.03393930570171939,0.39850045275708307,0.03393930570171939,0.9537290427630081
1,moon_age,0.03189232751087148,0.427572011208733,0.03189232751087148,0.955580400889316
19,temp_diff,0.031605607787557013,0.43174020417004483,0.031605607787557013,0.9584632532574995
3,temp_diff,-0.031095024146336893,0.43922069187459384,0.031095024146336893,0.9657772163665198
2,pressure,-0.030985478759757643,0.44083524590904205,0.030985478759757643,0.9657772163665198
16,moon_cos,-0.030740231046967468,0.44446214882796625,0.030740231046967468,0.9673587945079265
14,temp,0.03007851690441649,0.4543323450173092,0.03007851690441649,0.9677984086006314
25,temp_diff,0.03005395151743403,0.4547011220981275,0.03005395151743403,0.9677984086006314
10,pressure,0.030481825415647985,0.4483019520882727,0.030481825415647985,0.9677984086006314
35,temp,0.02994828308902616,0.45628933979068803,0.02994828308902616,0.9677984086006314
18,moon_age,0.029150188278844146,0.4683848610671493,0.029150188278844146,0.9766569469417578
19,humidity,0.029462237982641568,0.46363463084032885,0.029462237982641568,0.9766569469417578
37,pressure_diff,-0.028710049364613997,0.4751304066203146,0.028710049364613997,0.9766569469417578
31,pressure,0.02878528826342253,0.4739735438467924,0.02878528826342253,0.9766569469417578
2,moon_age,-0.028783790416119084,0.47399655945994884,0.028783790416119084,0.9766569469417578
30,temp,-0.004458788925713369,0.9117042615104792,0.004458788925713369,0.9789849902354545
36,temp_diff,0.009068148528181375,0.8215697537330859,0.009068148528181375,0.9789849902354545
27,pressure,0.02570423277211211,0.5225879302963523,0.02570423277211211,0.9789849902354545
35,moon_cos,-0.01341779478580022,0.7385975917266306,0.01341779478580022,0.9789849902354545
35,moon_sin,-0.0020971038345831694,0.9584057261764509,0.0020971038345831694,0.9789849902354545
35,humidity,-0.019517280071238225,0.6273682050405698,0.019517280071238225,0.9789849902354545
35,pressure,0.011286215898891234,0.7789456168678686,0.011286215898891234,0.9789849902354545
35,temp_diff,-0.01005393600027481,0.8025530645699523,0.01005393600027481,0.9789849902354545
34,moon_sin,0.019575889634371613,0.6263345416996947,0.019575889634371613,0.9789849902354545
34,moon_age,-0.01659731356216146,0.679754579485694,0.01659731356216146,0.9789849902354545
27,pressure_diff,0.017467295566599157,0.6639697390031635,0.017467295566599157,0.9789849902354545
